team_id,team_name,state,year,num_subscriptions,price_per_subscription,cost_per_subscription,gross_sales,total_cost,profit,profit_margin,team_description,customer_comment
16,Team_16,IL,2023,483,18.56,3.05,8964.48,1473.1499999999999,7491.33,0.8356681034482759,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
17,Team_17,TX,2024,501,16.44,5.64,8236.44,2825.64,5410.800000000001,0.6569343065693432,"Value-focused picks, aimed at casual players.","Great value, multiple wins!"
18,Team_18,GA,2023,517,14.6,8.48,7548.2,4384.16,3164.04,0.4191780821917808,"Value-focused picks, aimed at casual players.","Great value, multiple wins!"
19,Team_19,PA,2024,506,14.83,8.62,7503.9800000000005,4361.719999999999,3142.260000000001,0.4187457855697911,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
20,Team_20,TX,2024,492,19.44,5.29,9564.480000000001,2602.68,6961.800000000001,0.727880658436214,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
21,Team_21,IL,2023,484,23.75,6.15,11495.0,2976.6000000000004,8518.4,0.7410526315789473,"Expert tips, deep stats, and community chat included.",Too expensive for casual use.
22,Team_22,CA,2024,479,6.83,2.27,3271.57,1087.33,2184.2400000000002,0.6676427525622255,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
23,Team_23,MI,2023,547,5.39,7.4,2948.33,4047.8,-1099.4700000000003,-0.37291280148423017,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
24,Team_24,PA,2023,540,21.11,5.24,11399.4,2829.6,8569.8,0.7517764092846991,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
25,Team_25,NC,2024,506,7.16,5.56,3622.96,2813.3599999999997,809.6000000000004,0.2234636871508381,High-variance strategy with special bonuses.,Community is fun but needs more tips.
26,Team_26,CA,2023,519,24.73,8.99,12834.87,4665.81,8169.06,0.6364739183178326,High-variance strategy with special bonuses.,"Great value, multiple wins!"
27,Team_27,MI,2023,507,17.39,5.69,8816.73,2884.8300000000004,5931.9,0.6728004600345026,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
28,Team_28,NY,2023,501,18.02,2.17,9028.02,1087.17,7940.85,0.8795782463928968,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
29,Team_29,OH,2023,543,8.98,3.82,4876.14,2074.2599999999998,2801.8800000000006,0.5746102449888643,"Value-focused picks, aimed at casual players.","Great value, multiple wins!"
30,Team_30,FL,2023,514,9.81,5.8,5042.34,2981.2,2061.1400000000003,0.40876656472986755,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
31,Team_31,NC,2023,511,18.19,5.4,9295.09,2759.4,6535.6900000000005,0.703133589884552,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
32,Team_32,NY,2024,481,23.19,8.88,11154.390000000001,4271.280000000001,6883.110000000001,0.6170763260025873,"Expert tips, deep stats, and community chat included.",Not enough detailed analysis.
33,Team_33,IL,2023,498,24.65,6.34,12275.699999999999,3157.3199999999997,9118.38,0.7427991886409736,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
34,Team_34,NY,2023,470,8.96,7.52,4211.200000000001,3534.3999999999996,676.8000000000011,0.16071428571428595,Newcomer friendly; easy setup and low cost.,Not enough detailed analysis.
35,Team_35,OH,2023,485,7.68,5.75,3724.7999999999997,2788.75,936.0499999999997,0.25130208333333326,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
36,Team_36,IL,2023,521,6.13,5.52,3193.73,2875.9199999999996,317.8100000000004,0.09951060358890713,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
37,Team_37,NC,2024,480,22.37,5.57,10737.6,2673.6000000000004,8064.0,0.7510058113544926,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
38,Team_38,OH,2024,498,10.89,5.29,5423.22,2634.42,2788.8,0.5142332415059688,Newcomer friendly; easy setup and low cost.,Community is fun but needs more tips.
39,Team_39,TX,2024,537,5.04,6.31,2706.48,3388.47,-681.9899999999998,-0.2519841269841269,High-variance strategy with special bonuses.,Too expensive for casual use.
40,Team_40,FL,2023,539,9.48,4.0,5109.72,2156.0,2953.7200000000003,0.5780590717299579,"Expert tips, deep stats, and community chat included.",Not enough detailed analysis.
41,Team_41,NC,2023,507,11.81,9.13,5987.67,4628.910000000001,1358.7599999999993,0.2269263336155799,High-variance strategy with special bonuses.,Not enough detailed analysis.
42,Team_42,TX,2023,452,24.82,4.66,11218.64,2106.32,9112.32,0.8122481869460113,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
43,Team_43,MI,2024,510,15.47,3.18,7889.700000000001,1621.8000000000002,6267.900000000001,0.7944408532643826,High-variance strategy with special bonuses.,Too expensive for casual use.
44,Team_44,NC,2023,504,9.09,2.77,4581.36,1396.08,3185.2799999999997,0.6952695269526953,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
45,Team_45,MI,2023,491,11.7,2.11,5744.7,1036.01,4708.69,0.8196581196581196,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
46,Team_46,IL,2024,517,11.61,5.38,6002.37,2781.46,3220.91,0.5366063738156761,"Expert tips, deep stats, and community chat included.",Community is fun but needs more tips.
47,Team_47,TX,2023,463,5.39,3.5,2495.5699999999997,1620.5,875.0699999999997,0.3506493506493506,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
48,Team_48,FL,2023,495,7.7,2.17,3811.5,1074.1499999999999,2737.3500000000004,0.7181818181818183,High-variance strategy with special bonuses.,Not enough detailed analysis.
49,Team_49,OH,2023,489,18.9,6.16,9242.099999999999,3012.2400000000002,6229.859999999999,0.674074074074074,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
50,Team_50,GA,2024,506,7.41,7.44,3749.46,3764.6400000000003,-15.180000000000291,-0.004048582995951494,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
51,Team_51,NY,2023,478,9.61,2.69,4593.58,1285.82,3307.76,0.7200832466181062,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
52,Team_52,CA,2024,508,12.01,5.69,6101.08,2890.52,3210.56,0.5262281432139884,High-variance strategy with special bonuses.,Community is fun but needs more tips.
53,Team_53,FL,2024,500,20.15,7.95,10075.0,3975.0,6100.0,0.6054590570719603,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
54,Team_54,TX,2023,537,16.65,9.89,8941.05,5310.93,3630.119999999999,0.40600600600600595,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
55,Team_55,GA,2024,497,18.78,7.34,9333.66,3647.98,5685.68,0.6091586794462194,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
56,Team_56,FL,2023,503,16.34,3.96,8219.02,1991.8799999999999,6227.14,0.7576499388004896,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
57,Team_57,TX,2023,496,18.67,7.73,9260.320000000002,3834.0800000000004,5426.240000000002,0.5859667916443493,High-variance strategy with special bonuses.,Too expensive for casual use.
58,Team_58,PA,2024,485,5.06,6.78,2454.1,3288.3,-834.2000000000003,-0.33992094861660094,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
59,Team_59,PA,2024,488,23.62,3.69,11526.560000000001,1800.72,9725.840000000002,0.8437764606265877,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
60,Team_60,MI,2024,503,7.22,8.81,3631.66,4431.43,-799.7700000000004,-0.22022160664819956,High-variance strategy with special bonuses.,Too expensive for casual use.
61,Team_61,FL,2023,545,13.12,5.42,7150.4,2953.9,4196.5,0.586890243902439,High-variance strategy with special bonuses.,Not enough detailed analysis.
62,Team_62,PA,2023,478,20.42,9.7,9760.76,4636.599999999999,5124.160000000001,0.524975514201763,High-variance strategy with special bonuses.,Not enough detailed analysis.
63,Team_63,TX,2023,482,13.7,7.78,6603.4,3749.96,2853.4399999999996,0.43211678832116784,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
64,Team_64,MI,2023,485,23.94,7.16,11610.900000000001,3472.6,8138.300000000001,0.7009189640768588,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
65,Team_65,TX,2023,497,14.35,7.83,7131.95,3891.51,3240.4399999999996,0.4543554006968641,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
66,Team_66,MI,2023,478,22.5,5.82,10755.0,2781.96,7973.04,0.7413333333333333,High-variance strategy with special bonuses.,Too expensive for casual use.
67,Team_67,FL,2023,510,21.22,6.04,10822.199999999999,3080.4,7741.799999999999,0.7153628652214892,High-variance strategy with special bonuses.,Not enough detailed analysis.
68,Team_68,GA,2023,476,24.62,8.81,11719.12,4193.56,7525.56,0.6421608448415922,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
69,Team_69,OH,2023,469,23.53,7.45,11035.57,3494.05,7541.5199999999995,0.6833829154271143,Newcomer friendly; easy setup and low cost.,Not enough detailed analysis.
70,Team_70,NC,2023,520,22.96,9.18,11939.2,4773.599999999999,7165.600000000001,0.6001742160278747,High-variance strategy with special bonuses.,Community is fun but needs more tips.
71,Team_71,GA,2024,528,19.63,9.13,10364.64,4820.64,5543.999999999999,0.5348955680081507,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
72,Team_72,IL,2023,515,12.34,9.81,6355.1,5052.150000000001,1302.9499999999998,0.2050243111831442,High-variance strategy with special bonuses.,Community is fun but needs more tips.
73,Team_73,TX,2024,491,7.12,7.6,3495.92,3731.6,-235.67999999999984,-0.06741573033707861,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
74,Team_74,IL,2024,486,18.77,6.02,9122.22,2925.72,6196.5,0.6792754395311668,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
75,Team_75,GA,2023,467,24.57,3.33,11474.19,1555.1100000000001,9919.08,0.8644688644688644,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
76,Team_76,MI,2024,507,19.53,7.64,9901.710000000001,3873.48,6028.230000000001,0.6088069636456734,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
77,Team_77,NC,2023,523,23.57,4.33,12327.11,2264.59,10062.52,0.8162918964785745,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
78,Team_78,NC,2023,499,21.09,4.26,10523.91,2125.74,8398.17,0.7980085348506402,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
79,Team_79,CA,2023,472,8.26,3.91,3898.72,1845.52,2053.2,0.5266343825665859,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
80,Team_80,NC,2023,509,9.98,9.0,5079.820000000001,4581.0,498.8200000000006,0.09819639278557125,"Expert tips, deep stats, and community chat included.",Not enough detailed analysis.
81,Team_81,OH,2023,493,11.84,8.94,5837.12,4407.42,1429.6999999999998,0.2449324324324324,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
82,Team_82,NC,2023,446,8.37,7.05,3733.0199999999995,3144.2999999999997,588.7199999999998,0.15770609318996412,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
83,Team_83,GA,2024,467,16.63,5.78,7766.209999999999,2699.26,5066.949999999999,0.6524353577871316,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
84,Team_84,CA,2024,501,24.51,7.38,12279.51,3697.38,8582.130000000001,0.6988984088127296,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
85,Team_85,GA,2023,494,20.23,6.86,9993.62,3388.84,6604.780000000001,0.6608996539792388,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
86,Team_86,GA,2024,547,13.47,5.33,7368.09,2915.51,4452.58,0.6043058648849294,"Value-focused picks, aimed at casual players.","Great value, multiple wins!"
87,Team_87,NY,2023,483,5.09,5.04,2458.47,2434.32,24.149999999999636,0.00982318271119828,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
88,Team_88,CA,2023,466,11.27,5.06,5251.82,2357.96,2893.8599999999997,0.5510204081632653,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
89,Team_89,GA,2024,491,15.54,6.71,7630.139999999999,3294.61,4335.529999999999,0.5682110682110681,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
90,Team_90,NY,2023,505,11.49,7.18,5802.45,3625.8999999999996,2176.55,0.3751087902523934,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
91,Team_91,NY,2023,533,7.22,5.61,3848.2599999999998,2990.13,858.1299999999997,0.22299168975069245,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
92,Team_92,CA,2023,513,13.86,9.75,7110.179999999999,5001.75,2108.4299999999994,0.2965367965367965,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
93,Team_93,IL,2023,528,10.07,2.67,5316.96,1409.76,3907.2,0.7348560079443892,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
94,Team_94,MI,2024,529,23.18,4.78,12262.22,2528.6200000000003,9733.599999999999,0.7937877480586711,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
95,Team_95,OH,2023,517,7.04,5.35,3639.68,2765.95,873.73,0.2400568181818182,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
96,Team_96,MI,2024,483,5.98,2.14,2888.34,1033.6200000000001,1854.72,0.6421404682274248,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
97,Team_97,NC,2023,521,5.11,4.92,2662.31,2563.32,98.98999999999978,0.0371819960861056,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
98,Team_98,OH,2023,520,11.56,4.19,6011.2,2178.8,3832.3999999999996,0.6375432525951557,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
99,Team_99,NC,2023,473,18.21,6.05,8613.33,2861.65,5751.68,0.6677649643053268,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
100,Team_100,GA,2024,505,19.61,4.69,9903.05,2368.4500000000003,7534.5999999999985,0.7608363080061192,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
101,Team_101,TX,2023,512,14.07,7.81,7203.84,3998.72,3205.1200000000003,0.44491826581378824,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
102,Team_102,CA,2024,517,18.69,6.08,9662.730000000001,3143.36,6519.370000000001,0.6746923488496522,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
103,Team_103,OH,2024,533,12.2,3.04,6502.599999999999,1620.32,4882.28,0.7508196721311475,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
104,Team_104,OH,2023,474,18.36,8.0,8702.64,3792.0,4910.639999999999,0.5642701525054465,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
105,Team_105,GA,2024,504,5.81,2.79,2928.24,1406.16,1522.0799999999997,0.5197934595524957,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
106,Team_106,IL,2024,525,12.82,8.71,6730.5,4572.75,2157.75,0.3205928237129485,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
107,Team_107,NY,2024,537,20.82,9.45,11180.34,5074.65,6105.6900000000005,0.5461095100864554,High-variance strategy with special bonuses.,"Great value, multiple wins!"
108,Team_108,GA,2023,477,21.06,4.58,10045.619999999999,2184.66,7860.959999999999,0.7825261158594492,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
109,Team_109,PA,2023,505,19.32,9.41,9756.6,4752.05,5004.55,0.5129399585921325,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
110,Team_110,NY,2023,520,9.08,8.34,4721.6,4336.8,384.8000000000002,0.08149779735682823,Newcomer friendly; easy setup and low cost.,Not enough detailed analysis.
111,Team_111,CA,2023,479,9.94,9.38,4761.259999999999,4493.02,268.2399999999989,0.05633802816901386,High-variance strategy with special bonuses.,"Loved the stats, very helpful!"
112,Team_112,NY,2023,512,24.92,7.33,12759.04,3752.96,9006.080000000002,0.7058587479935795,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
113,Team_113,IL,2024,495,7.07,3.89,3499.65,1925.55,1574.1000000000001,0.44978783592644983,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
114,Team_114,NY,2023,544,8.61,9.16,4683.84,4983.04,-299.1999999999998,-0.0638792102206736,Newcomer friendly; easy setup and low cost.,Not enough detailed analysis.
115,Team_115,CA,2023,483,7.6,3.47,3670.7999999999997,1676.01,1994.7899999999997,0.5434210526315789,"Value-focused picks, aimed at casual players.","Great value, multiple wins!"
116,Team_116,IL,2024,508,11.55,3.7,5867.400000000001,1879.6000000000001,3987.8,0.6796536796536796,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
117,Team_117,MI,2024,541,9.2,4.17,4977.2,2255.97,2721.23,0.5467391304347826,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
118,Team_118,OH,2023,481,14.95,4.43,7190.95,2130.83,5060.12,0.7036789297658863,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
119,Team_119,OH,2024,501,14.52,6.12,7274.5199999999995,3066.12,4208.4,0.5785123966942148,Newcomer friendly; easy setup and low cost.,Community is fun but needs more tips.
120,Team_120,NC,2023,510,23.03,7.71,11745.300000000001,3932.1,7813.200000000001,0.6652192792010421,High-variance strategy with special bonuses.,Too expensive for casual use.
121,Team_121,MI,2023,512,5.69,9.41,2913.28,4817.92,-1904.6399999999999,-0.6537785588752196,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
122,Team_122,MI,2024,447,11.4,2.71,5095.8,1211.37,3884.4300000000003,0.762280701754386,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
123,Team_123,NY,2023,496,16.93,9.63,8397.28,4776.4800000000005,3620.8,0.43118724158298877,"Expert tips, deep stats, and community chat included.",Community is fun but needs more tips.
124,Team_124,OH,2023,560,17.1,9.37,9576.0,5247.2,4328.8,0.45204678362573103,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
125,Team_125,CA,2023,517,14.6,2.43,7548.2,1256.3100000000002,6291.889999999999,0.8335616438356164,"Expert tips, deep stats, and community chat included.",Too expensive for casual use.
126,Team_126,FL,2023,502,21.31,4.88,10697.619999999999,2449.7599999999998,8247.859999999999,0.7709995307367433,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
127,Team_127,FL,2023,480,6.25,8.51,3000.0,4084.7999999999997,-1084.7999999999997,-0.3615999999999999,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
128,Team_128,IL,2023,504,21.31,6.89,10740.24,3472.56,7267.68,0.6766776161426561,High-variance strategy with special bonuses.,Not enough detailed analysis.
129,Team_129,OH,2024,535,14.9,8.23,7971.5,4403.05,3568.45,0.4476510067114094,High-variance strategy with special bonuses.,"Great value, multiple wins!"
130,Team_130,OH,2024,480,7.68,7.75,3686.3999999999996,3720.0,-33.600000000000364,-0.009114583333333433,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
131,Team_131,FL,2023,514,22.71,5.97,11672.94,3068.58,8604.36,0.7371202113606341,Newcomer friendly; easy setup and low cost.,Community is fun but needs more tips.
132,Team_132,OH,2023,488,17.98,2.33,8774.24,1137.04,7637.2,0.8704115684093437,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
133,Team_133,NY,2023,484,8.27,6.67,4002.68,3228.2799999999997,774.4000000000001,0.1934703748488513,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
134,Team_134,PA,2023,525,5.67,2.39,2976.75,1254.75,1722.0,0.5784832451499118,Newcomer friendly; easy setup and low cost.,Community is fun but needs more tips.
135,Team_135,TX,2024,498,7.82,6.83,3894.36,3401.34,493.02,0.12659846547314577,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
136,Team_136,MI,2023,488,17.18,8.4,8383.84,4099.2,4284.64,0.5110593713620489,High-variance strategy with special bonuses.,Not enough detailed analysis.
137,Team_137,NC,2023,464,8.59,6.68,3985.7599999999998,3099.52,886.2399999999998,0.22235157159487773,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
138,Team_138,IL,2024,493,9.52,9.98,4693.36,4920.14,-226.78000000000065,-0.04831932773109258,"Expert tips, deep stats, and community chat included.","Great value, multiple wins!"
139,Team_139,PA,2024,533,5.5,5.65,2931.5,3011.4500000000003,-79.95000000000027,-0.027272727272727365,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
140,Team_140,FL,2024,482,19.46,7.99,9379.720000000001,3851.1800000000003,5528.540000000001,0.5894141829393628,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
141,Team_141,MI,2023,519,21.21,7.34,11007.99,3809.46,7198.53,0.6539368222536539,High-variance strategy with special bonuses.,"Great value, multiple wins!"
142,Team_142,OH,2023,496,20.94,9.93,10386.24,4925.28,5460.96,0.5257879656160459,Newcomer friendly; easy setup and low cost.,Not enough detailed analysis.
143,Team_143,NC,2023,503,7.55,7.71,3797.65,3878.13,-80.48000000000002,-0.021192052980132454,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
144,Team_144,OH,2023,534,23.07,3.31,12319.380000000001,1767.54,10551.84,0.8565236237537928,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
145,Team_145,CA,2024,531,18.45,9.64,9796.949999999999,5118.84,4678.109999999999,0.4775067750677506,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
146,Team_146,CA,2024,524,22.95,7.34,12025.8,3846.16,8179.639999999999,0.6801742919389978,"Value-focused picks, aimed at casual players.",Community is fun but needs more tips.
147,Team_147,NC,2024,513,13.94,2.47,7151.219999999999,1267.1100000000001,5884.109999999999,0.8228120516499282,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
148,Team_148,NC,2024,482,13.74,7.26,6622.68,3499.3199999999997,3123.3600000000006,0.4716157205240175,Aggressive lineup with weekly analysis and premium picks.,Not enough detailed analysis.
149,Team_149,FL,2023,527,20.69,9.06,10903.630000000001,4774.62,6129.010000000001,0.5621072982116965,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
150,Team_150,NC,2024,496,6.87,6.62,3407.52,3283.52,124.0,0.036390101892285295,"Value-focused picks, aimed at casual players.","Loved the stats, very helpful!"
151,Team_151,NY,2023,492,15.42,4.83,7586.64,2376.36,5210.280000000001,0.6867704280155642,Aggressive lineup with weekly analysis and premium picks.,Too expensive for casual use.
152,Team_152,OH,2023,497,21.73,8.57,10799.81,4259.29,6540.5199999999995,0.6056143580303728,High-variance strategy with special bonuses.,Not enough detailed analysis.
153,Team_153,PA,2023,497,21.6,8.26,10735.2,4105.22,6629.9800000000005,0.6175925925925926,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
154,Team_154,GA,2023,487,24.12,6.35,11746.44,3092.45,8653.990000000002,0.7367330016583749,"Expert tips, deep stats, and community chat included.",Community is fun but needs more tips.
155,Team_155,NC,2023,457,18.97,3.23,8669.289999999999,1476.11,7193.179999999999,0.8297311544544017,Aggressive lineup with weekly analysis and premium picks.,"Loved the stats, very helpful!"
156,Team_156,IL,2024,495,9.16,4.01,4534.2,1984.9499999999998,2549.25,0.5622270742358079,Aggressive lineup with weekly analysis and premium picks.,"Great value, multiple wins!"
157,Team_157,CA,2023,538,5.41,7.91,2910.58,4255.58,-1345.0,-0.46210720887245843,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
158,Team_158,NY,2023,471,14.59,8.45,6871.89,3979.95,2891.9400000000005,0.4208361891706649,"Expert tips, deep stats, and community chat included.",Not enough detailed analysis.
159,Team_159,MI,2023,496,15.27,4.23,7573.92,2098.0800000000004,5475.84,0.7229862475442044,"Value-focused picks, aimed at casual players.",Too expensive for casual use.
160,Team_160,GA,2024,515,9.81,4.94,5052.150000000001,2544.1000000000004,2508.05,0.49643221202854226,"Expert tips, deep stats, and community chat included.","Loved the stats, very helpful!"
161,Team_161,PA,2023,489,7.49,2.62,3662.61,1281.18,2381.4300000000003,0.650200267022697,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
162,Team_162,GA,2024,451,16.72,7.71,7540.719999999999,3477.21,4063.5099999999993,0.5388755980861244,Newcomer friendly; easy setup and low cost.,"Great value, multiple wins!"
163,Team_163,NC,2023,489,20.29,2.03,9921.81,992.67,8929.14,0.8999507146377526,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
164,Team_164,FL,2024,482,24.86,2.37,11982.52,1142.3400000000001,10840.18,0.9046661303298471,Newcomer friendly; easy setup and low cost.,Too expensive for casual use.
165,Team_165,CA,2023,549,20.17,2.03,11073.330000000002,1114.4699999999998,9958.860000000002,0.8993554784333169,Newcomer friendly; easy setup and low cost.,"Loved the stats, very helpful!"
166,Team_166,CA,2024,484,20.87,7.16,10101.08,3465.44,6635.639999999999,0.6569238140872065,"Value-focused picks, aimed at casual players.",Not enough detailed analysis.
167,Team_167,MI,2024,485,17.33,5.34,8405.05,2589.9,5815.15,0.6918638199653779,Aggressive lineup with weekly analysis and premium picks.,Community is fun but needs more tips.
